Points_0,Points_1,Points_2,vel1,vel2
0.5,0.717647,0,-0.0206145,0.0497384
0.5,0.721569,0,-0.0194555,0.0498511
0.5,0.72549,0,-0.0182944,0.0499435
0.5,0.729412,0,-0.0171148,0.0500152
0.5,0.733333,0,-0.0159318,0.0500661
0.5,0.737255,0,-0.0147256,0.0500957
0.5,0.741176,0,-0.0135142,0.0501038
0.5,0.745098,0,-0.0122744,0.0500903
0.5,0.74902,0,-0.0110277,0.0500548
0.5,0.752941,0,-0.00974723,0.0499972
0.5,0.756863,0,-0.00845855,0.0499172
0.5,0.760784,0,-0.00713093,0.0498146
0.5,0.764706,0,-0.00579462,0.0496892
0.5,0.768627,0,-0.00441407,0.0495408
0.5,0.772549,0,-0.0030251,0.0493691
0.5,0.776471,0,-0.00158642,0.0491741
0.5,0.780392,0,-0.000140163,0.0489554
0.5,0.784314,0,0.00136171,0.0487128
0.5,0.788235,0,0.00286986,0.0484463
0.5,0.792157,0,0.0044403,0.0481556
0.5,0.796078,0,0.00601536,0.0478405
0.5,0.8,0,0.00766041,0.0475007
0.5,0.803922,0,0.00930818,0.0471364
0.5,0.807843,0,0.011035,0.0467471
0.5,0.811765,0,0.0127625,0.0463328
0.5,0.815686,0,0.0145797,0.0458932
0.5,0.819608,0,0.0163955,0.0454284
0.5,0.823529,0,0.0183136,0.0449381
0.5,0.827451,0,0.020228,0.0444221
0.5,0.831373,0,0.0222602,0.0438804
0.5,0.835294,0,0.0242861,0.0433126
0.5,0.839216,0,0.0264487,0.0427189
0.5,0.843137,0,0.0286021,0.0420988
0.5,0.847059,0,0.0309154,0.0414526
0.5,0.85098,0,0.0332161,0.0407796
0.5,0.854902,0,0.0357053,0.0400802
0.5,0.858824,0,0.0381781,0.0393537
0.5,0.862745,0,0.040875,0.0386003
0.5,0.866667,0,0.043551,0.0378194
0.5,0.870588,0,0.0464951,0.0370113
0.5,0.87451,0,0.0494134,0.0361752
0.5,0.878431,0,0.052655,0.0353113
0.5,0.882353,0,0.0558652,0.034419
0.5,0.886275,0,0.0594682,0.0334982
0.5,0.890196,0,0.0630335,0.0325484
0.5,0.894118,0,0.06708,0.0315694
0.5,0.898039,0,0.0710816,0.0305607
0.5,0.901961,0,0.0756778,0.0295221
0.5,0.905882,0,0.0802206,0.0284529
0.5,0.909804,0,0.0855046,0.0273533
0.5,0.913725,0,0.0907252,0.0262224
0.5,0.917647,0,0.0968781,0.0250604
0.5,0.921569,0,0.102954,0.0238669
0.5,0.92549,0,0.110214,0.0226424
0.5,0.929412,0,0.117376,0.0213866
0.5,0.933333,0,0.126056,0.0201008
0.5,0.937255,0,0.134601,0.0187856
0.5,0.941176,0,0.145108,0.0174435
0.5,0.945098,0,0.155397,0.0160768
0.5,0.94902,0,0.168241,0.01469
0.5,0.952941,0,0.180676,0.0132884
0.5,0.956863,0,0.196652,0.0118649
0.5,0.960784,0,0.211105,0.0104442
0.5,0.964706,0,0.231766,0.00904004
0.5,0.968627,0,0.247928,0.0076539
0.5,0.972549,0,0.27408,0.00631128
0.5,0.976471,0,0.289063,0.00501808
0.5,0.980392,0,0.33281,0.00382616
0.5,0.984314,0,0.337636,0.00267429
0.5,0.988235,0,0.394435,0.00172012
0.5,0.992157,0,0.399317,0.000924857
0.5,0.996078,0,0.462849,0.000391529
0.5,1,0,nan,nan
