Points_0,Points_1,Points_2,vel1,vel2
0.764706,0.5,0,-0.0743088,-0.0564845
0.768627,0.5,0,-0.0735456,-0.0576442
0.772549,0.5,0,-0.0727322,-0.0587653
0.776471,0.5,0,-0.071868,-0.0598335
0.780392,0.5,0,-0.0709528,-0.0608579
0.784314,0.5,0,-0.0699861,-0.0618209
0.788235,0.5,0,-0.068968,-0.0627353
0.792157,0.5,0,-0.0678983,-0.0635792
0.796078,0.5,0,-0.0667774,-0.0643701
0.8,0.5,0,-0.0656053,-0.0650808
0.803922,0.5,0,-0.0643829,-0.0657349
0.807843,0.5,0,-0.0631104,-0.0662984
0.811765,0.5,0,-0.061789,-0.0668027
0.815686,0.5,0,-0.0604195,-0.0672053
0.819608,0.5,0,-0.0590037,-0.0675479
0.823529,0.5,0,-0.0575424,-0.0677759
0.827451,0.5,0,-0.0560383,-0.0679457
0.831373,0.5,0,-0.0544922,-0.0679905
0.835294,0.5,0,-0.0529078,-0.0679762
0.839216,0.5,0,-0.0512854,-0.0678192
0.843137,0.5,0,-0.0496297,-0.0676237
0.847059,0.5,0,-0.0479436,-0.0672554
0.85098,0.5,0,-0.0462297,-0.0668712
0.854902,0.5,0,-0.0444915,-0.0662867
0.858824,0.5,0,-0.0427327,-0.065711
0.862745,0.5,0,-0.0409572,-0.0649066
0.866667,0.5,0,-0.0391694,-0.0641417
0.870588,0.5,0,-0.0373733,-0.0631161
0.87451,0.5,0,-0.0355735,-0.0621687
0.878431,0.5,0,-0.0337746,-0.060923
0.882353,0.5,0,-0.0319814,-0.0598043
0.886275,0.5,0,-0.0301979,-0.0583406
0.890196,0.5,0,-0.0284307,-0.0570708
0.894118,0.5,0,-0.0266832,-0.0553859
0.898039,0.5,0,-0.0249613,-0.0540064
0.901961,0.5,0,-0.0232697,-0.0521023
0.905882,0.5,0,-0.0216116,-0.0506363
0.909804,0.5,0,-0.0199929,-0.0485204
0.913725,0.5,0,-0.0184171,-0.0469952
0.917647,0.5,0,-0.0168868,-0.0446766
0.921569,0.5,0,-0.0154071,-0.0431278
0.92549,0.5,0,-0.0139764,-0.0405911
0.929412,0.5,0,-0.0126168,-0.0391321
0.933333,0.5,0,-0.0112971,-0.0361733
0.937255,0.5,0,-0.0100511,-0.0351866
0.941176,0.5,0,-0.00891779,-0.0316462
0.945098,0.5,0,-0.0078093,-0.031129
0.94902,0.5,0,-0.00677682,-0.0273183
0.952941,0.5,0,-0.00580795,-0.026878
0.956863,0.5,0,-0.00491938,-0.0229149
0.960784,0.5,0,-0.00409967,-0.0225932
0.964706,0.5,0,-0.00335785,-0.0185373
0.968627,0.5,0,-0.00268756,-0.0183334
0.972549,0.5,0,-0.00209488,-0.0142276
0.976471,0.5,0,-0.00157565,-0.0141272
0.980392,0.5,0,-0.00113244,-0.0100088
0.984314,0.5,0,-0.000763013,-0.00998629
0.988235,0.5,0,-0.000465282,-0.00585201
0.992157,0.5,0,-0.000246904,-0.00597637
0.996078,0.5,0,-0.000100304,-0.0018689
1,0.5,0,nan,nan
